,funds,stock_count,total_assets
0,10000.0,0.0,10000.0
1,9004.0,166.0,10000.0
2,9217.675,133.0,10078.849999999999
3,8299.974999999999,271.0,10102.124999999998
4,8672.845,217.0,10171.23
5,8980.509999999998,174.0,10225.479999999998
6,9226.669999999998,140.0,10240.269999999999
7,9467.609999999999,112.0,10431.369999999999
8,8523.345,231.0,10356.33
9,8933.205,185.0,10581.555
10,9227.539999999999,148.0,10404.88
11,9456.929999999998,119.0,10398.219999999998
12,8516.13,247.0,10331.579999999998
13,8651.849999999999,223.0,9912.914999999999
14,8897.809999999998,179.0,9898.419999999998
15,8992.329999999998,162.0,9893.049999999997
16,9259.689999999999,114.0,9894.669999999998
17,8798.319999999998,205.0,9837.669999999998
18,8903.919999999998,185.0,9880.719999999998
19,9299.449999999999,111.0,9892.744999999999
20,8374.609999999999,279.0,9910.505
21,8693.06,224.0,9990.02
22,8900.519999999999,180.0,9749.22
23,8011.319999999999,370.0,9742.919999999998
24,8364.669999999998,296.0,9778.069999999998
25,8506.624999999998,267.0,9813.589999999998
26,9181.599999999999,134.0,9861.649999999998
27,8264.925,319.0,9845.57
28,8539.92,256.0,9657.36
29,8648.295,231.0,9649.68
30,8755.935,208.0,9729.375
31,9052.295,146.0,9750.175
32,8148.575,350.0,9699.075
33,8311.325,315.0,9776.075
34,9389.325,95.0,9854.825
35,8453.425000000001,291.0,9842.95
36,8597.555,262.0,9899.695
37,8823.495,210.0,9735.945000000002
38,8386.17,315.0,9698.145
39,8631.555,252.0,9613.095000000001
40,6906.615,770.0,9470.715
41,7180.349999999999,693.0,9643.965
