,funds,stock_count,total_assets
0,10000.0,0.0,10000.0
1,9002.64,364.0,10000.0
2,9103.26,328.0,10020.02
3,9192.86,296.0,10021.66
4,9273.915,267.0,10020.18
5,9345.935000000001,241.0,10013.505000000001
6,9410.495,217.0,9994.225
7,8942.33,394.0,9984.46
8,9045.875,355.0,9988.4
9,9139.325,320.0,9993.725
10,9225.725,288.0,10003.325
11,8766.59,459.0,9999.005000000001
12,8889.215,414.0,10017.365
13,9235.795,290.0,10046.345
14,8775.975,456.0,10039.095000000001
15,8902.875,411.0,10061.895
16,9143.545,329.0,10109.16
17,9236.665,297.0,10100.935000000001
18,9496.545,208.0,10103.905
19,8547.545,500.0,10172.545
20,8884.045,400.0,10230.045
21,9011.445,360.0,10158.045
22,9244.725,288.0,10177.845000000001
23,9434.535,231.0,10203.765
24,9607.725,185.0,10304.25
25,10075.035,74.0,10386.575
26,9070.125,332.0,10363.265
27,9328.185,266.0,10368.244999999999
28,9529.055,213.0,10336.325
29,8579.305,475.0,10301.18
30,9036.255000000001,380.0,10864.055
31,10351.815,152.0,11228.855
32,9319.265000000001,366.0,11085.215
33,9483.965000000002,330.0,10993.715000000002
34,9774.035000000002,264.0,10934.315000000002
35,9996.335000000001,212.0,10902.635
36,10406.675000000001,128.0,11031.955000000002
37,9366.815,346.0,11017.235
38,9690.77,277.0,10991.285
39,9928.645,222.0,10888.795
40,8936.800000000001,459.0,10857.715000000002
41,9318.545000000002,368.0,10862.305000000002
42,9616.020000000002,295.0,10818.145000000002
43,9846.120000000003,236.0,10766.520000000002
44,9355.265000000003,363.0,10758.260000000004
45,9601.865000000003,291.0,10598.540000000003
46,8161.9500000000035,728.0,10560.710000000003
47,8399.910000000003,656.0,10567.990000000003
48,8768.020000000004,525.0,10243.270000000004
49,8917.000000000004,473.0,10272.145000000004
50,9055.180000000004,426.0,10307.620000000004
51,9445.705000000004,299.0,10365.130000000003
52,8976.275000000003,456.0,10339.715000000004
53,9113.750000000004,411.0,10369.355000000003
54,9374.510000000004,329.0,10420.730000000003
