,funds,stock_count,total_assets
0,10000.0,0.0,10000.0
1,9013.425,67.0,10000.0
2,9207.255,54.0,10012.394999999999
3,8295.855,114.0,10027.515
4,8633.994999999999,92.0,10048.035
5,9311.515,56.0,10365.435
6,9398.965,51.0,10290.955
7,9661.915,36.0,10292.995
8,8697.050000000001,89.0,10317.295000000002
9,8997.27,72.0,10268.79
10,9241.57,58.0,10253.67
11,9447.6,47.0,10327.91
12,7565.72,141.0,10388.54
13,8046.200000000001,113.0,9985.28
14,8434.390000000001,91.0,10040.085000000001
15,8651.560000000001,73.0,9532.305000000002
16,7793.9000000000015,149.0,9475.365000000002
17,8120.730000000001,120.0,9473.130000000001
18,8387.61,96.0,9455.130000000001
19,8599.175000000001,77.0,9456.570000000002
20,7745.855000000001,155.0,9441.555000000002
21,8148.545000000001,124.0,9759.305
22,8458.145,100.0,9748.145
23,8734.345000000001,80.0,9839.145
24,8938.105000000001,64.0,9753.145
25,8049.535000000002,145.0,9640.185000000001
26,8320.105000000001,116.0,9402.385000000002
27,8532.855000000001,93.0,9393.105000000001
28,7683.685000000001,191.0,9338.7
29,8026.4450000000015,153.0,9406.505000000001
30,8290.895000000002,123.0,9375.140000000003
31,8505.095000000003,99.0,9388.670000000004
32,6384.600000000002,346.0,9355.010000000002
33,6867.255000000002,277.0,8804.870000000003
34,7061.655000000002,250.0,8861.655000000002
35,7183.780000000002,225.0,8282.905000000002
36,7272.770000000001,203.0,8093.905000000002
