,funds,stock_count,total_assets
0,10000.0,0.0,10000.0
1,9000.25,215.0,10000.0
2,9207.94,172.0,10038.7
3,8287.95,369.0,10011.18
4,8623.385,296.0,9983.505000000001
5,8916.91,237.0,10095.985
6,9027.539999999999,214.0,10056.88
7,9129.81,193.0,10069.72
8,9409.394999999999,136.0,10076.474999999999
9,8471.009999999998,325.0,10084.634999999998
10,8632.13,293.0,10107.384999999998
11,9402.279999999999,147.0,10177.704999999998
12,8464.019999999999,319.0,10204.164999999999
13,8627.234999999999,288.0,10143.554999999998
14,9281.009999999998,173.0,10264.515
15,8355.409999999998,351.0,10180.609999999997
16,8783.459999999997,281.0,10501.774999999998
17,9115.259999999997,225.0,10448.384999999997
18,10111.559999999996,90.0,10775.759999999997
19,9106.709999999995,216.0,10829.309999999996
20,9461.029999999995,173.0,10886.549999999996
21,9714.499999999995,139.0,10750.744999999995
22,9910.789999999995,112.0,10725.029999999995
23,8923.089999999995,252.0,10700.949999999995
24,9099.089999999995,227.0,10697.169999999995
25,9229.329999999994,205.0,10442.929999999995
26,9348.129999999994,185.0,10447.029999999993
27,8416.869999999994,372.0,10269.429999999993
28,8788.349999999993,298.0,10284.309999999992
29,9075.384999999993,239.0,10238.119999999994
30,9184.634999999993,216.0,10210.634999999993
31,9288.164999999994,195.0,10249.514999999994
32,9574.394999999993,137.0,10250.489999999993
33,8618.459999999994,356.0,10172.399999999994
34,8768.959999999994,321.0,10149.259999999993
35,9342.399999999994,193.0,10207.039999999994
36,8412.099999999995,403.0,10197.389999999996
37,8758.899999999994,323.0,10159.104999999994
38,8976.499999999995,259.0,9857.099999999995
39,8529.679999999995,391.0,9853.214999999995
40,8660.719999999996,352.0,9843.439999999995
41,8893.119999999995,282.0,9829.359999999995
42,7559.9199999999955,722.0,9747.579999999996
43,8005.599999999996,578.0,9794.509999999995
