,funds,index,stock_count,total_assets
0,10000.0,0,0.0,10000.0
1,9000.085,10,321.0,10000.0
2,9100.724999999999,27,289.0,10009.63
3,9189.064999999999,28,261.0,10012.519999999999
4,9271.095,29,235.0,10012.519999999999
5,9342.855,30,212.0,10004.295
6,9541.305,31,149.0,10010.655
7,9064.515,53,287.0,10056.099999999999
8,9266.58,61,230.0,10081.93
9,8341.74,77,482.0,10110.68
10,8691.18,104,386.0,10096.220000000001
11,9021.895,122,309.0,10349.050000000001
12,9148.495,140,279.0,10325.875
13,9381.145,161,224.0,10328.665
14,10029.705,163,90.0,10465.305
15,9029.93,191,287.0,10486.455
16,9317.210000000001,220,230.0,10476.410000000002
17,6523.860000000001,242,924.0,10242.960000000001
18,7258.9400000000005,252,740.0,10215.240000000002
19,8698.98,297,444.0,10859.039999999999
20,9168.9,318,356.0,11069.939999999999
21,9526.385,355,285.0,10961.36
22,9814.235,375,228.0,10965.635
23,10035.185000000001,396,183.0,10933.715000000002
24,9032.625000000002,398,391.0,10917.245000000003
25,9419.115000000002,401,313.0,10970.030000000002
26,10151.615000000002,421,188.0,11253.295000000002
27,10414.315000000002,439,151.0,11486.415000000003
28,9378.900000000001,445,308.0,11410.160000000002
29,9784.245,450,247.0,11425.560000000001
30,10072.12,466,198.0,11235.37
31,9068.26,470,396.0,11075.98
32,9502.76,474,317.0,11246.26
